County;City;Data_filename;Extreme_outdoor_temperature;;;;
Blekinge;Karlskrona;nattraby_1167066.csv;-17;;;;nattraby_1167066
Dalarna;Falun;falun_7720724.csv;-26;;;;falun_7720724
Gotland;Visby;sodra_vi_1628244.csv;-20;;;;sodra_vi_1628244
Gaavleborg;Gaavle;hemlingby_436939.csv;-26;;;;hemlingby_436939
Halland;Halmstad;halmstad_1327184.csv;-18;;;;halmstad_1327184
Jaamtland;oostersund;ostersund_6241699.csv;-28;;;;ostersund_6241699
Joonkooping;Joonkooping;jonkoping_vaster_7124809.csv;-18;;;;jonkoping_vaster_7124809
Kalmar;Kalmar;oxhagen_8109734.csv;-18;;;;oxhagen_8109734
Kronoberg;Vaaxjoo;soder_525751.csv;-18;;;;soder_525751
Norrbotten;Luleaaa;moron_2530154.csv;-34;;;;moron_2530154
Skaaane;Malmoo;kvarnby_962654.csv;-16;;;;kvarnby_962654
Stockholm;Stockholm;tullinge_6561206.csv;-24;;;;tullinge_6561206
Soodermanland;Nykooping;skeppsvik_5809769.csv;-22;;;;skeppsvik_5809769
Uppsala;Uppsala;uppsala_2401145.csv;-24;;;;uppsala_2401145
Vaarmland;Karlstad;karlstad_7365362.csv;-22;;;;karlstad_7365362
Vaasterbotten;Umeaaa;umea_1281306.csv;-32;;;;umea_1281306
Vaasternorrland;Haarnoosand;brannan_3175262.csv;-30;;;;brannan_3175262
Vaastmanland;Vaasteraaas;vasteras_2608187.csv;-24;;;;vasteras_2608187
Vaastra Gootaland;Gooteborg;partille_1262939.csv;-20;;;;partille_1262939
Orebro;oorebro;adolfsberg_9680467.csv;-22;;;;adolfsberg_9680467
oostergootland;Linkooping;bergsslussar_8943423.csv;-20;;;;bergsslussar_8943423
